year,disasterno
2007,2007-0398
1995,1995-0494
1998,1998-0409
2007,2007-0438
2010,2010-0550
2000,2000-0842
2006,2006-0291
1993,1993-0430
1993,1993-0437
2000,2000-0297
1996,1996-0133
1984,1984-0103
1990,1990-0069
2000,2000-0542
2006,2006-0424
2008,2008-0004
2011,2011-0092
2001,2001-0082
1985,1985-0012
1986,1986-0284
1988,1988-0294
1995,1995-0051
1999,1999-0736
2002,2002-0402
1996,1996-0045
1991,1991-0169
1994,1994-0606
1999,1999-0402
2008,2008-0362
2009,2009-0159
2009,2009-0468
2010,2010-0527
2002,2002-0422
2000,2000-0048
1965,1965-0030
1988,1988-0404
1988,1988-0285
2010,2010-0674
2011,2011-0361
2011,2011-0626
1988,1988-0337
2005,2005-0078
1988,1988-0640
2005,2005-0662
1985,1985-0151
1996,1996-0022
1997,1997-0196
1999,1999-0733
2000,2000-0532
2004,2004-0284
2006,2006-0337
2011,2011-0526
2007,2007-0313
1970,1970-0021
2002,2002-0845
2004,2004-0202
2005,2005-0045
2011,2011-0095
2000,2000-0870
2002,2002-0012
2008,2008-0630
2010,2010-0483
2000,2000-0797
1988,1988-0333
1999,1999-0324
1974,1974-0091
1971,1971-0037
1975,1975-0052
1990,1990-0580
1992,1992-0546
1993,1993-0326
2001,2001-0527
2007,2007-0239
2011,2011-0422
1978,1978-0238
1978,1978-0239
1977,1977-0046
1992,1992-0484
2002,2002-0291
1995,1995-0128
1996,1996-0008
1999,1999-0066
1978,1978-0240
2008,2008-0008
1978,1978-0204
1968,1968-0069
2000,2000-0235
2010,2010-0109
1997,1997-0255
2003,2003-0204
1980,1980-0290
2013,2013-0338
2003,2003-0096
2008,2008-0639
2011,2011-0629
2001,2001-0600
2000,2000-0050
2000,2000-0815
2002,2002-0091
1983,1983-0461
1985,1985-0334
1985,1985-0210
2011,2011-0072
2013,2014-0425
2016,2016-0379
2016,2016-0350
2017,2017-0463
2017,2017-0568
2017,2017-0352
2017,2017-0372
2018,2018-0050
2016,2016-0056
2018,2018-0252
2018,2018-0250
2018,2018-0305
2017,2017-0225
2017,2017-0478
2017,2017-0223
2016,2016-0451
2016,2016-0507
2016,2016-0088
2016,2016-0433
2017,2017-0410
2017,2017-0408
2018,2018-0087
2016,2016-0355
2017,2017-0381
2018,2018-0373
2016,2016-0131
2016,2016-0423
2017,2017-0381
2016,2016-0039
2016,2016-0186
2016,2016-0041
2016,2016-0179
2018,2018-0025
2018,2018-0375
2017,2017-0360
2018,2018-0025
2017,2017-0306
2016,2016-0334
2016,2016-0519
2017,2017-0450
2017,2017-0196
2017,2017-0416
2018,2018-0191
2017,2017-0216
2016,2016-0418
2016,2016-0126
2017,2017-0209
2017,2017-0104
2017,2017-0383
2016,2016-0407
2017,2017-0227
2017,2017-0449
2017,2017-0410
2017,2017-0196
2017,2017-0221
2017,2017-0230
2016,2016-0485
2016,2016-0234
2016,2016-0239
2016,2016-0271
2016,2016-0554
2016,2016-0267
2016,2016-0276
2017,2017-0294
2017,2017-0290
2017,2017-0495
2017,2017-0508
2017,2017-0570
2017,2017-0569
2017,2017-0289
2017,2017-0180
2017,2017-0265
2017,2017-0342
2017,2017-0517
2017,2017-0364
2018,2018-0385
2018,2018-0431
2018,2018-0439
2018,2018-0216
2018,2018-0345
2018,2018-0295
2016,2016-0191
2016,2016-0479
2016,2016-0057
2016,2016-0040
2016,2016-0092
2016,2016-0345
2017,2017-0494
2017,2017-0105
2017,2017-0206
2018,2018-0425
2016,2016-0544
2018,2018-0427
2016,2016-0179
2018,2018-0397
2017,2017-0246
2017,2017-0327
2017,2017-0468
2016,2016-0089
2018,2018-0148
2016,2016-0361
2018,2018-0222
2017,2017-0075
2016,2016-0129
2018,2018-0064
2016,2016-0516
2016,2016-0307
2017,2017-0516
2017,2017-0525
2018,2018-0068
2018,2018-0063
2016,2016-0175
2017,2017-0383
2017,2017-0380
2016,2016-0424
2016,2016-0325
2016,2016-0288
2017,2017-0168
2017,2017-0498
2017,2017-0392
2018,2018-0367
2018,2018-0249
2017,2017-0051
2017,2017-0139
2017,2017-0152
2018,2018-0025
2017,2017-0222
2017,2017-0319
2017,2017-0449
2017,2017-0342
2017,2017-0410
2016,2016-0337
2017,2017-0272
2017,2017-0378
2018,2018-0238
2017,2017-0548
2016,2016-0112
2016,2016-0229
2016,2016-0240
2016,2016-0387
2017,2017-0038
2018,2018-0203
2016,2016-0433
2017,2017-0036
2017,2017-0084
2016,2016-0490
2017,2017-0028
2017,2017-0432
2017,2017-0422
2016,2016-0179
2017,2017-0524
2017,2017-0326
2017,2017-0497
2016,2016-0179
2016,2016-0426
2016,2016-0179
2017,2017-0407
2016,2016-0295
2017,2017-0232
2018,2018-0407
2018,2018-0113
2016,2016-0149
2017,2017-0087
2017,2017-0415
2018,2018-0135
2016,2016-0522
2016,2016-0446
2016,2016-0076
2017,2017-0341
2016,2016-0305
2016,2016-0327
2016,2016-0496
2018,2018-0002
2018,2018-0361
2017,2017-0071
2017,2017-0079
2017,2017-0573
2018,2018-0002
2017,2017-0169
2016,2016-0191
2017,2017-0251
2016,2016-0033
2016,2016-0244
2016,2016-0077
2017,2017-0281
2017,2017-0316
2017,2017-0202
2017,2017-0548
2018,2018-0002
2016,2016-0012
2016,2016-0552
2016,2016-0123
2016,2016-0124
2016,2016-0292
2016,2016-0331
2017,2017-0410
2017,2017-0512
2017,2017-0062
2017,2017-0564
2017,2017-0563
2017,2017-0136
2017,2017-0234
2017,2017-0253
2017,2017-0282
2017,2017-0362
2017,2017-0336
2017,2017-0381
2017,2017-0383
2017,2017-0288
2016,2016-0517
2018,2018-0222
2016,2016-0400
2016,2016-0371
2017,2017-0259
2017,2017-0281
2017,2017-0352
2017,2017-0337
2017,2017-0383
2016,2016-0120
2018,2018-0394
2016,2016-0523
2017,2017-0091
2017,2017-0094
2016,2016-0118
2017,2017-0185
2016,2016-0235
2012,2012-0019
2012,2012-0012
2007,2007-0263
2017,2017-0010
2002,2002-0531
2004,2004-0310
2000,2000-0324
2003,2003-0391
2005,2005-0713
2010,2010-0633
