year,disasterno
1999,1999-0015
2000,2000-0043
2000,2000-0754
2000,2000-0861
2001,2001-0037
2002,2002-0025
2002,2002-0442
2002,2002-0514
2002,2002-0881
2003,2003-0146
2006,2006-0181
2006,2006-0431
2008,2008-0245
2009,2009-0108
2010,2010-0678
2011,2011-0100
2011,2011-0638
2014,2014-0099
1983,1983-0392
1987,1987-0054
1990,1990-0354
1990,1990-0379
1991,1991-0161
1991,1991-0522
1962,1962-0008
1983,1983-0137
1987,1987-0148
1987,1987-0207
1994,1994-0338
1997,1997-0273
2000,2000-0814
2001,2001-0621
2004,2004-0145
2007,2007-0132
2007,2007-0174
2009,2009-0014
2010,2010-0647
2011,2011-0475
2013,2013-0215
2013,2013-0530
2014,2014-0008
1964,1964-0069
1967,1967-0067
1969,1969-0113
1981,1981-0106
1982,1982-0130
1984,1984-0350
1984,1984-0043
1989,1989-0021
1990,1990-0001
1990,1990-0603
1991,1991-0321
1992,1992-0206
1993,1993-0040
1993,1993-0229
1994,1994-0521
1995,1995-0108
1996,1996-0142
1997,1997-0570
1998,1998-0226
1998,1998-0612
1999,1999-0161
2000,2000-0613
2000,2000-0741
2000,2000-0831
2002,2002-0788
2003,2003-0229
2004,2004-0652
2005,2005-0646
2006,2006-0602
2007,2007-0012
2007,2007-0187
2007,2007-0609
2008,2008-0132
2008,2008-0184
2008,2008-0224
2009,2009-0336
2009,2009-0501
2009,2009-0551
2010,2010-0191
2010,2010-0583
2011,2011-0024
2011,2011-0049
2011,2011-0590
2011,2011-0484
2012,2012-0537
2013,2013-0039
2013,2013-0220
2014,2014-0181
2014,2014-0495
1983,1983-0108
1994,1994-0217
1996,1996-0187
1996,1996-0468
1998,1998-0251
1999,1999-0264
1999,1999-0316
2001,2001-0417
2002,2002-0515
2002,2002-0623
2003,2003-0368
2005,2005-0748
2006,2006-0447
2006,2006-0442
2007,2007-0261
2010,2010-0579
2012,2012-0280
2013,2013-0280
2014,2014-0264
1984,1984-0017
2005,2005-0156
2006,2006-0434
1983,1983-0387
1983,1983-0388
1985,1985-0099
1987,1987-0346
1993,1993-0167
1997,1997-0352
2003,2003-0003
2006,2006-0419
2009,2009-0273
2013,2013-0216
2014,2014-0458
1967,1967-0031
2001,2001-0104
2004,2004-0072
1965,1965-0049
1969,1969-0095
1977,1977-0090
1981,1981-0277
1986,1986-0101
1986,1986-0115
1987,1987-0198
1994,1994-0776
1994,1994-0185
1994,1994-0314
1996,1996-0371
1997,1997-0178
2000,2000-0517
2000,2000-0706
2001,2001-0415
2004,2004-0309
2004,2004-0468
2004,2004-0535
2004,2004-0618
2005,2005-0396
2005,2005-0381
2005,2005-0419
2005,2005-0492
2006,2006-0388
2008,2008-0292
2008,2008-0442
2008,2008-0441
2012,2012-0178
2012,2012-0585
1990,1990-0711
1994,1994-0633
1996,1996-0111
1999,1999-0036
2001,2001-0756
2001,2001-0530
2002,2002-0315
2002,2002-0375
2002,2002-0475
2003,2003-0273
2004,2004-0342
2005,2005-0304
1982,1982-0078
1989,1989-0053
1990,1990-0016
1993,1993-0157
1994,1994-0105
1995,1995-0038
1997,1997-0306
1998,1998-0096
2002,2002-0274
2003,2003-0620
2005,2005-0212
2006,2006-0624
2008,2008-0066
2008,2008-0127
2009,2009-0052
2009,2009-0484
2011,2011-0617
2011,2011-0634
2012,2012-0072
2014,2014-0119
2015,2015-0069
2015,2015-0205
1975,1975-0012
1980,1980-0280
1981,1981-0064
1986,1986-0059
1987,1987-0219
1988,1988-0512
1989,1989-0131
1990,1990-0409
1991,1991-0710
1992,1992-0494
1992,1992-0495
1992,1992-0496
1993,1993-0481
1993,1993-0482
1993,1993-0483
1993,1993-0222
1994,1994-0777
1994,1994-0774
1994,1994-0308
1994,1994-0657
1995,1995-0198
1996,1996-0182
1997,1997-0184
1999,1999-0269
1999,1999-0427
1999,1999-0616
1999,1999-0599
2000,2000-0401
2000,2000-0755
2001,2001-0176
2001,2001-0450
2001,2001-0528
2002,2002-0629
2003,2003-0774
2003,2003-0561
2003,2003-0617
2004,2004-0244
2004,2004-0258
2004,2004-0501
2005,2005-0303
2005,2005-0435
2005,2005-0540
2005,2005-0690
2006,2006-0113
2006,2006-0270
2006,2006-0530
2007,2007-0142
2007,2007-0181
2007,2007-0446
2007,2007-0530
2007,2007-0611
2008,2008-0184
2008,2008-0430
2008,2008-0547
2008,2008-0634
2009,2009-0513
2010,2010-0552
2011,2011-0083
2011,2011-0272
2011,2011-0326
2012,2012-0375
2013,2013-0263
2013,2013-0431
2013,2013-0533
2014,2014-0345
2014,2014-0471
2014,2014-0522
2003,2003-0293
2006,2006-0126
1966,1966-0037
1995,1995-0174
1999,1999-0423
1961,1961-0003
1973,1973-0080
1977,1977-0143
1982,1982-0034
1982,1982-0065
1990,1990-0008
1997,1997-0094
1998,1998-0051
1998,1998-0440
2001,2001-0711
2004,2004-0004
2011,2011-0091
2014,2014-0001
1993,1993-0493
2004,2004-0462
1964,1964-0062
1969,1969-0094
1979,1979-0122
1982,1982-0114
1986,1986-0118
1990,1990-0002
2003,2003-0027
2003,2003-0469
2007,2007-0501
2009,2009-0412
1964,1964-0018
1972,1972-0020
1988,1988-0684
1990,1990-0634
1990,1990-0023
1991,1991-0714
1991,1991-0548
1995,1995-0072
1995,1995-0273
1998,1998-0167
1998,1998-0189
1998,1998-0255
2000,2000-0281
2001,2001-0188
2001,2001-0309
2001,2001-0665
2002,2002-0450
2002,2002-0791
2003,2003-0627
2004,2004-0026
2004,2004-0102
2004,2004-0209
2004,2004-0274
2004,2004-0424
2004,2004-0600
2005,2005-0340
2006,2006-0334
2007,2007-0168
2007,2007-0330
2009,2009-0262
2009,2009-0355
2011,2011-0377
2012,2012-0194
1972,1972-0057
1984,1984-0123
1987,1987-0062
1990,1990-0010
1993,1993-0006
2015,2015-0093
1997,1997-0301
2000,2000-0621
2000,2000-0734
2002,2002-0016
2002,2002-0194
2002,2002-0272
2003,2003-0204
2003,2003-0706
2004,2004-0591
2006,2006-0462
2006,2006-0624
2007,2007-0555
2011,2011-0238
2012,2012-0380
2013,2013-0197
1992,1992-0477
1993,1993-0230
1996,1996-0475
2000,2000-0427
2000,2000-0603
2000,2000-0784
2003,2003-0129
2005,2005-0146
2006,2006-0209
2006,2006-0333
2007,2007-0396
1991,1991-0004
1993,1993-0098
1994,1994-0589
1997,1997-0340
1998,1998-0451
2002,2002-0488
2004,2004-0423
2005,2005-0011
2009,2009-0497
1965,1965-0020
1965,1965-0053
1966,1966-0049
1970,1970-0030
1972,1972-0037
1974,1974-0019
1975,1975-0031
1976,1976-0051
1977,1977-0089
1977,1977-0118
1979,1979-0034
1979,1979-0088
1980,1980-0294
1980,1980-0299
1980,1980-0300
1981,1981-0049
1981,1981-0058
1982,1982-0124
1983,1983-0473
1983,1983-0492
1983,1983-0159
1984,1984-0055
1985,1985-0005
1985,1985-0049
1985,1985-0371
1985,1985-0104
1986,1986-0030
1986,1986-0285
1987,1987-0336
1987,1987-0378
1987,1987-0380
1987,1987-0099
1987,1987-0391
1987,1987-0348
1987,1987-0330
1988,1988-0046
1988,1988-0110
1988,1988-0141
1988,1988-0157
1988,1988-0171
1988,1988-0210
1988,1988-0221
1988,1988-0229
1988,1988-0253
1988,1988-0310
1988,1988-0510
1988,1988-0515
1988,1988-0539
1988,1988-0553
1989,1989-0440
1989,1989-0363
1989,1989-0445
1989,1989-0448
1989,1989-0456
1989,1989-0372
1990,1990-0707
1990,1990-0708
1990,1990-0346
1990,1990-0353
1990,1990-0355
1990,1990-0357
1990,1990-0359
1990,1990-0360
1990,1990-0713
1990,1990-0362
1990,1990-0363
1990,1990-0366
1990,1990-0073
1990,1990-0378
1990,1990-0398
1990,1990-0413
1990,1990-0419
1991,1991-0485
1991,1991-0486
1991,1991-0487
1991,1991-0488
1991,1991-0490
1991,1991-0491
1991,1991-0492
1991,1991-0493
1991,1991-0494
1991,1991-0496
1991,1991-0500
1991,1991-0501
1991,1991-0502
1991,1991-0503
1991,1991-0505
1991,1991-0508
1991,1991-0513
1991,1991-0514
1991,1991-0515
1991,1991-0516
1991,1991-0218
1991,1991-0540
1991,1991-0543
1991,1991-0423
1991,1991-0546
1992,1992-0179
1992,1992-0181
1992,1992-0188
1992,1992-0191
1992,1992-0193
1992,1992-0198
1992,1992-0203
1992,1992-0208
1992,1992-0212
1992,1992-0214
1992,1992-0219
1992,1992-0268
1992,1992-0270
1992,1992-0274
1992,1992-0275
1992,1992-0278
1993,1993-0420
1993,1993-0100
1993,1993-0422
1993,1993-0423
1993,1993-0424
1993,1993-0426
1993,1993-0428
1993,1993-0151
1993,1993-0431
1993,1993-0433
1993,1993-0434
1993,1993-0043
1993,1993-0435
1993,1993-0436
1993,1993-0437
1994,1994-0023
1994,1994-0784
1994,1994-0019
1994,1994-0100
1994,1994-0106
1994,1994-0146
1994,1994-0339
1995,1995-0026
1995,1995-0041
1995,1995-0046
1995,1995-0488
1995,1995-0083
1995,1995-0489
1995,1995-0404
1995,1995-0245
1995,1995-0481
1995,1995-0492
1996,1996-0449
1996,1996-0450
1996,1996-0015
1996,1996-0451
1996,1996-0031
1996,1996-0453
1996,1996-0454
1996,1996-0455
1996,1996-0494
1996,1996-0199
1996,1996-0247
1996,1996-0295
1997,1997-0008
1997,1997-0315
1997,1997-0317
1997,1997-0318
1997,1997-0034
1997,1997-0040
1997,1997-0320
1997,1997-0323
1997,1997-0324
1997,1997-0571
1997,1997-0329
1997,1997-0330
1997,1997-0332
1997,1997-0333
1997,1997-0127
1997,1997-0336
1997,1997-0346
1997,1997-0172
1997,1997-0349
1997,1997-0351
1997,1997-0215
1997,1997-0359
1997,1997-0361
1998,1998-0008
1998,1998-0031
1998,1998-0067
1998,1998-0066
1998,1998-0092
1998,1998-0097
1998,1998-0600
1998,1998-0168
1998,1998-0180
1998,1998-0606
1998,1998-0199
1998,1998-0200
1998,1998-0228
1998,1998-0605
1998,1998-0256
1998,1998-0380
1998,1998-0304
1998,1998-0366
1998,1998-0315
1998,1998-0602
1998,1998-0420
1999,1999-0005
1999,1999-0042
1999,1999-0088
1999,1999-0098
1999,1999-0107
1999,1999-0737
1999,1999-0167
1999,1999-0618
1999,1999-0179
1999,1999-0266
1999,1999-0298
1999,1999-0327
2000,2000-0021
2000,2000-0919
2000,2000-0080
2000,2000-0175
2000,2000-0232
2000,2000-0296
2000,2000-0463
2000,2000-0502
2000,2000-0614
2000,2000-0865
2000,2000-0937
2001,2001-0106
2001,2001-0262
2001,2001-0266
2001,2001-0194
2001,2001-0268
2001,2001-0270
2001,2001-0242
2001,2001-0474
2001,2001-0460
2001,2001-0773
2001,2001-0564
2001,2001-0601
2001,2001-0602
2002,2002-0183
2002,2002-0287
2002,2002-0266
2002,2002-0283
2002,2002-0569
2002,2002-0652
2002,2002-0751
2002,2002-0802
2003,2003-0085
2003,2003-0829
2003,2003-0756
2003,2003-0413
2003,2003-0663
2003,2003-0595
2003,2003-0618
2004,2004-0031
2004,2004-0100
2004,2004-0121
2004,2004-0731
2004,2004-0146
2004,2004-0245
2004,2004-0295
2004,2004-0249
2004,2004-0338
2004,2004-0675
2004,2004-0455
2004,2004-0462
2004,2004-0572
2005,2005-0029
2005,2005-0103
2005,2005-0203
2005,2005-0219
2005,2005-0286
2005,2005-0530
2006,2006-0128
2006,2006-0182
2006,2006-0161
2006,2006-0171
2006,2006-0260
2006,2006-0341
2006,2006-0413
2006,2006-0642
2006,2006-0598
2006,2006-0595
2006,2006-0743
2006,2006-0744
2006,2006-0707
2006,2006-0706
2006,2006-0718
2007,2007-0026
2007,2007-0041
2007,2007-0066
2007,2007-0689
2007,2007-0083
2007,2007-0663
2007,2007-0156
2007,2007-0662
2007,2007-0690
2007,2007-0173
2007,2007-0254
2007,2007-0359
2007,2007-0581
2007,2007-0641
2007,2007-0621
2008,2008-0600
2008,2008-0010
2008,2008-0599
2008,2008-0039
2008,2008-0115
2008,2008-0131
2008,2008-0601
2008,2008-0194
2008,2008-0627
2008,2008-0338
2008,2008-0352
2008,2008-0654
2009,2009-0287
2009,2009-0106
2009,2009-0644
2009,2009-0190
2009,2009-0140
2009,2009-0184
2009,2009-0601
2009,2009-0603
2009,2009-0599
2010,2010-0045
2010,2010-0089
2010,2010-0612
2010,2010-0162
2010,2010-0163
2010,2010-0187
2010,2010-0690
2010,2010-0196
2010,2010-0225
2010,2010-0689
2010,2010-0468
2010,2010-0655
2010,2010-0663
2011,2011-0607
2011,2011-0608
2011,2011-0029
2011,2011-0609
2011,2011-0134
2011,2011-0610
2011,2011-0145
2011,2011-0166
2011,2011-0646
2011,2011-0172
2011,2011-0189
2011,2011-0195
2011,2011-0425
2011,2011-0611
2011,2011-0328
2011,2011-0456
2011,2011-0527
2012,2012-0010
2012,2012-0055
2012,2012-0060
2012,2012-0122
2012,2012-0156
2012,2012-0601
2012,2012-0612
2012,2012-0613
2012,2012-0177
2012,2012-0614
2012,2012-0503
2012,2012-0234
2012,2012-0615
2012,2012-0313
2012,2012-0616
2012,2012-0410
2012,2012-0486
2012,2012-0493
2013,2013-0013
2013,2013-0054
2013,2013-0055
2013,2013-0579
2013,2013-0117
2013,2013-0118
2013,2013-0286
2013,2013-0211
2013,2013-0254
2013,2013-0334
2013,2013-0277
2013,2013-0510
2013,2013-0439
2013,2013-0472
2013,2013-0550
2013,2013-0558
2014,2014-0052
2014,2014-0053
2014,2014-0048
2014,2014-0072
2014,2014-0100
2014,2014-0126
2014,2014-0540
2014,2014-0263
2014,2014-0310
2014,2014-0317
2014,2014-0444
2014,2014-0459
2015,2015-0026
2015,2015-0072
2015,2015-0025
2015,2015-0046
2015,2015-0122
2015,2015-0138
2015,2015-0180
2015,2015-0177
2015,2015-0212
2015,2015-0186
2015,2014-0553
1991,1991-0118
1992,1992-0080
1993,1993-0078
1997,1997-0308
1998,1998-0040
2000,2000-0840
2002,2002-0160
2002,2002-0240
2005,2005-0456
2007,2007-0135
2007,2007-0183
2009,2009-0531
1972,1972-0019
1981,1981-0109
1988,1988-0040
1992,1992-0001
1992,1992-0050
1993,1993-0024
2001,2001-0143
2004,2004-0080
2009,2009-0171
2011,2011-0070
2014,2014-0096
2015,2015-0093
1988,1988-0327
1993,1993-0059
1994,1994-0545
1997,1997-0191
1999,1999-0124
1999,1999-0282
1999,1999-0547
2000,2000-0735
2002,2002-0445
2003,2003-0713
2003,2003-0773
2004,2004-0676
2005,2005-0305
2006,2006-0643
2008,2008-0580
2011,2011-0619
2011,2011-0569
2011,2011-0635
2012,2012-0241
2015,2015-0296
1971,1971-0029
1980,1980-0068
1980,1980-0090
1982,1982-0112
1983,1983-0452
1985,1985-0106
1985,1985-0114
1986,1986-0109
1987,1987-0200
1988,1988-0460
1988,1988-0503
1989,1989-0178
1989,1989-0104
1990,1990-0048
1990,1990-0418
1991,1991-0711
1991,1991-0315
1991,1991-0210
1991,1991-0538
1991,1991-0444
1992,1992-0144
1992,1992-0143
1992,1992-0145
1993,1993-0133
1993,1993-0213
1993,1993-0088
1993,1993-0231
1994,1994-0341
1994,1994-0658
1995,1995-0236
1995,1995-0274
1996,1996-0110
1996,1996-0500
1996,1996-0447
1996,1996-0227
1996,1996-0248
1997,1997-0358
1997,1997-0267
1998,1998-0159
1998,1998-0316
1998,1998-0374
1998,1998-0434
1999,1999-0244
1999,1999-0428
1999,1999-0574
2000,2000-0448
2000,2000-0518
2000,2000-0540
2000,2000-0748
2001,2001-0318
2001,2001-0436
2001,2001-0492
2001,2001-0587
2001,2001-0624
2002,2002-0470
2002,2002-0610
2003,2003-0672
2003,2003-0505
2003,2003-0557
2004,2004-0258
2004,2004-0354
2004,2004-0735
2004,2004-0580
2005,2005-0476
2005,2005-0536
2005,2005-0540
2005,2005-0584
2005,2005-0628
2005,2005-0611
2005,2005-0694
2006,2006-0362
2006,2006-0429
2006,2006-0451
2006,2006-0446
2006,2006-0517
2006,2006-0648
2007,2007-0323
2007,2007-0463
2007,2007-0512
2007,2007-0531
2007,2007-0522
2007,2007-0558
2008,2008-0329
2008,2008-0426
2008,2008-0437
2008,2008-0481
2008,2008-0501
2008,2008-0540
2008,2008-0552
2008,2008-0607
2009,2009-0247
2009,2009-0414
2009,2009-0478
2010,2010-0308
2010,2010-0432
2010,2010-0515
2010,2010-0539
2010,2010-0573
2010,2010-0597
2011,2011-0359
2011,2011-0396
2012,2012-0294
2012,2012-0351
2012,2012-0406
2013,2013-0266
2013,2013-0417
2013,2013-0419
2013,2013-0430
2013,2013-0433
2013,2013-0443
2014,2014-0474
2015,2015-0252
1993,1993-0022
1996,1996-0498
1996,1996-0134
1998,1998-0052
1998,1998-0263
1999,1999-0548
2001,2001-0246
2001,2001-0402
2002,2002-0410
2002,2002-0454
2002,2002-0576
2003,2003-0301
2005,2005-0222
2006,2006-0095
2007,2007-0024
2007,2007-0103
2010,2010-0183
2010,2010-0320
2013,2013-0319
1973,1973-0116
1975,1975-0050
1982,1982-0042
1989,1989-0037
1990,1990-0114
1994,1994-0546
1997,1997-0295
1999,1999-0531
2001,2001-0209
2001,2001-0683
2002,2002-0080
2003,2003-0073
2003,2003-0641
2005,2005-0143
2006,2006-0145
2006,2006-0141
2006,2006-0172
2007,2007-0527
2010,2010-0133
2014,2014-0432
1998,1998-0053
2000,2000-0103
2003,2003-0148
2003,2003-0631
2007,2007-0010
2007,2007-0040
2008,2008-0629
2010,2010-0119
1982,1982-0082
2012,2012-0551
1991,1991-0097
1993,1993-0015
1990,1990-0582
1996,1996-0141
1996,1996-0470
2006,2006-0489
2008,2008-0386
1969,1969-0074
1987,1987-0192
2007,2007-0349
1995,1995-0140
2002,2002-0215
2005,2005-0382
1988,1988-0706
2002,2002-0478
2004,2004-0500
2005,2005-0371
2007,2007-0457
2010,2010-0369
2011,2011-0284
1973,1973-0048
2004,2004-0615
2013,2013-0379
2000,2000-0196
2002,2002-0367
2005,2005-0214
2006,2006-0109
2012,2012-0476
2012,2012-0473
2013,2013-0425
2007,2007-0360
2010,2010-0551
2013,2013-0531
1986,1986-0111
2011,2011-0179
2013,2013-0531
1996,1996-0466
2008,2008-0554
2006,2006-0584
1984,1984-0353
1994,1994-0120
1995,1995-0167
1995,1995-0175
2001,2001-0096
1973,1973-0047
2006,2006-0366
2008,2008-0262
2008,2008-0373
2008,2008-0139
2010,2010-0357
2009,2009-0037
2013,2013-0124
1967,1967-0064
1980,1980-0042
1988,1988-0116
1993,1993-0116
1995,1995-0049
1998,1998-0029
2000,2000-0839
2001,2001-0012
2001,2001-0121
2003,2003-0080
2012,2012-0087
2014,2014-0442
1971,1971-0015
1971,1971-0096
1974,1974-0061
1976,1976-0128
1976,1976-0129
1976,1976-0131
1982,1982-0264
1982,1982-0266
1984,1984-0109
1985,1985-0023
1986,1986-0121
1990,1990-0272
1990,1990-0422
1992,1992-0178
1992,1992-0380
1993,1993-0214
1994,1994-0555
1996,1996-0195
1996,1996-0321
1996,1996-0272
1997,1997-0015
1998,1998-0011
1998,1998-0192
1998,1998-0261
1999,1999-0051
1999,1999-0104
2000,2000-0214
2001,2001-0030
2001,2001-0087
2001,2001-0301
2002,2002-0637
2003,2003-0066
2003,2003-0292
2003,2003-0288
2003,2003-0560
2003,2003-0615
2004,2004-0674
2004,2004-0400
2004,2004-0589
2006,2006-0139
2007,2007-0591
2009,2009-0048
2009,2009-0230
2010,2010-0102
2014,2014-0475
2015,2015-0053
1960,1960-0031
1961,1961-0005
1965,1965-0028
1965,1965-0068
1967,1967-0034
1970,1970-0063
1976,1976-0133
1983,1983-0072
1983,1983-0133
1983,1983-0147
1990,1990-0576
1993,1993-0154
1993,1993-0029
1993,1993-0196
1994,1994-0087
1995,1995-0487
1997,1997-0321
1997,1997-0258
1998,1998-0101
1998,1998-0447
1999,1999-0734
2000,2000-0294
2003,2003-0190
2006,2006-0737
2007,2007-0161
2015,2015-0293
1961,1961-0013
2001,2001-0736
1965,1965-0047
1967,1967-0081
1971,1971-0017
1977,1977-0105
1981,1981-0105
1987,1987-0233
1990,1990-0710
1992,1992-0013
1992,1992-0076
1995,1995-0289
1997,1997-0002
1997,1997-0152
1997,1997-0249
1998,1998-0332
2003,2003-0521
2006,2006-0038
2007,2007-0465
2008,2008-0346
2009,2009-0531
2011,2011-0187
2011,2011-0427
2013,2013-0521
2014,2014-0245
2006,2006-0368
1970,1970-0042
1975,1975-0122
1983,1983-0300
1985,1985-0201
1989,1989-0115
1993,1993-0150
1994,1994-0548
1996,1996-0116
1997,1997-0082
2001,2001-0052
2002,2002-0404
2003,2003-0087
2003,2003-0468
2003,2003-0487
2004,2004-0074
2004,2004-0146
2007,2007-0066
2007,2007-0165
2009,2009-0189
2010,2010-0655
2011,2011-0328
2012,2012-0068
2014,2014-0319
1969,1969-0066
1980,1980-0069
1981,1981-0066
1981,1981-0089
1982,1982-0058
1983,1983-0069
1984,1984-0076
1985,1985-0304
1985,1985-0074
1985,1985-0084
1986,1986-0264
1986,1986-0081
1986,1986-0082
1986,1986-0268
1987,1987-0098
1987,1987-0114
1987,1987-0134
1987,1987-0136
1987,1987-0147
1987,1987-0408
1987,1987-0159
1988,1988-0251
1988,1988-0320
1988,1988-0370
1988,1988-0388
1988,1988-0439
1989,1989-0252
1990,1990-0349
1990,1990-0037
1990,1990-0038
1990,1990-0390
1990,1990-0078
1990,1990-0402
1990,1990-0592
1991,1991-0171
1991,1991-0227
1992,1992-0553
1992,1992-0220
1992,1992-0297
1992,1992-0357
1993,1993-0156
1993,1993-0250
1993,1993-0461
1993,1993-0199
1993,1993-0463
1993,1993-0464
1993,1993-0465
1993,1993-0251
1993,1993-0466
1994,1994-0785
1994,1994-0163
1994,1994-0067
1995,1995-0031
1995,1995-0036
1995,1995-0060
1995,1995-0178
1995,1995-0188
1995,1995-0277
1996,1996-0078
1996,1996-0493
1996,1996-0202
1996,1996-0236
1997,1997-0144
1997,1997-0104
1997,1997-0562
1997,1997-0168
1997,1997-0186
1998,1998-0046
1998,1998-0102
1998,1998-0174
1998,1998-0321
1999,1999-0625
1999,1999-0645
1999,1999-0374
1999,1999-0392
2000,2000-0163
2000,2000-0200
2000,2000-0350
2000,2000-0426
2000,2000-0533
2001,2001-0795
2001,2001-0305
2001,2001-0740
2001,2001-0292
2001,2001-0419
2001,2001-0526
2001,2001-0534
2002,2002-0406
2002,2002-0461
2002,2002-0498
2002,2002-0570
2002,2002-0691
2002,2002-0803
2003,2003-0185
2003,2003-0274
2003,2003-0346
2003,2003-0443
2003,2003-0724
2004,2004-0677
2004,2004-0292
2004,2004-0306
2004,2004-0412
2004,2004-0435
2005,2005-0145
2005,2005-0123
2005,2005-0729
2005,2005-0307
2005,2005-0730
2005,2005-0334
2005,2005-0381
2005,2005-0505
2005,2005-0565
2006,2006-0008
2006,2006-0745
2006,2006-0251
2006,2006-0264
2006,2006-0300
2006,2006-0323
2006,2006-0371
2006,2006-0367
2006,2006-0392
2006,2006-0437
2006,2006-0481
2006,2006-0567
2007,2007-0313
2007,2007-0414
2007,2007-0405
2007,2007-0457
2007,2007-0552
2008,2008-0651
2008,2008-0416
2008,2008-0329
2008,2008-0369
2008,2008-0426
2008,2008-0441
2008,2008-0507
2009,2009-0378
2009,2009-0399
2010,2010-0036
2010,2010-0405
2010,2010-0415
2010,2010-0691
2010,2010-0484
2010,2010-0543
2011,2011-0135
2011,2011-0576
2012,2012-0199
2012,2012-0259
2012,2012-0294
2013,2013-0201
2013,2013-0221
2013,2013-0258
2013,2013-0259
2013,2013-0261
2013,2013-0264
2013,2013-0306
2013,2013-0416
2013,2013-0373
2013,2013-0429
2014,2014-0550
2014,2014-0213
2014,2014-0217
2014,2014-0330
2015,2015-0278
2015,2015-0244
2014,2014-0505
1978,1978-0034
1993,1993-0012
2002,2002-0604
2005,2005-0011
1986,1986-0143
2011,2011-0518
1999,1999-0182
2001,2001-0386
2005,2005-0011
2005,2005-0364
2005,2005-0451
2008,2008-0082
2009,2009-0228
1984,1984-0063
1988,1988-0139
1991,1991-0296
1961,1961-0012
1967,1967-0063
1969,1969-0109
1970,1970-0105
1971,1971-0052
1971,1971-0058
1972,1972-0051
1974,1974-0045
1975,1975-0121
1975,1975-0056
1976,1976-0143
1978,1978-0055
1979,1979-0051
1980,1980-0044
1981,1981-0046
1981,1981-0094
1981,1981-0107
1982,1982-0313
1982,1982-0120
1983,1983-0068
1983,1983-0129
1985,1985-0121
1986,1986-0084
1987,1987-0394
1987,1987-0410
1988,1988-0519
1989,1989-0158
1989,1989-0091
1990,1990-0397
1991,1991-0509
1991,1991-0527
1991,1991-0766
1991,1991-0431
1992,1992-0211
1992,1992-0333
1993,1993-0325
1993,1993-0218
1995,1995-0462
1995,1995-0491
1995,1995-0275
1996,1996-0183
1996,1996-0298
1997,1997-0182
1998,1998-0449
1998,1998-0379
2000,2000-0323
2001,2001-0337
2002,2002-0204
2002,2002-0216
2003,2003-0100
2003,2003-0775
2005,2005-0504
2005,2005-0537
2006,2006-0740
2006,2006-0263
2006,2006-0734
2007,2007-0603
2007,2007-0415
2007,2007-0556
2008,2008-0646
2009,2009-0640
2009,2009-0641
2010,2010-0283
2010,2010-0693
2011,2011-0593
2011,2011-0176
2011,2011-0327
2011,2011-0473
2013,2013-0090
2013,2013-0138
2013,2013-0400
2014,2014-0313
2014,2014-0409
1978,1978-0142
1980,1980-0315
1984,1984-0037
1985,1985-0075
1986,1986-0053
1987,1987-0063
1987,1987-0228
1991,1991-0692
1993,1993-0003
1994,1994-0783
1994,1994-0353
1995,1995-0019
1998,1998-0355
2001,2001-0407
2005,2005-0589
2007,2007-0175
2009,2009-0436
2010,2010-0026
2010,2010-0034
2011,2011-0645
2011,2011-0575
2012,2012-0561
2012,2012-0575
2013,2013-0034
1981,1981-0092
1973,1973-0001
2000,2000-0632
1966,1966-0065
1977,1977-0092
1977,1977-0117
1981,1981-0072
1982,1982-0365
1982,1982-0086
1991,1991-0536
1993,1993-0079
1994,1994-0302
1995,1995-0484
1998,1998-0004
1998,1998-0278
1999,1999-0356
2000,2000-0447
2001,2001-0511
2002,2002-0825
2003,2003-0459
2004,2004-0339
2004,2004-0435
2005,2005-0394
2012,2012-0414
2012,2012-0588
2013,2013-0046
2013,2013-0080
2013,2013-0413
2013,2013-0429
2014,2014-0314
2015,2015-0176
2015,2015-0244
1989,1989-0265
1995,1995-0393
1998,1998-0075
2000,2000-0601
2004,2004-0500
2007,2007-0598
2007,2007-0470
2012,2012-0588
1991,1991-0344
1968,1968-0019
1996,1996-0445
2004,2004-0119
2004,2004-0403
2006,2006-0037
2006,2006-0226
2011,2011-0020
2015,2015-0021
1975,1975-0057
1981,1981-0090
1983,1983-0134
1991,1991-0452
1995,1995-0191
2004,2004-0259
2006,2006-0604
1978,1978-0144
2000,2000-0753
2009,2009-0123
2014,2014-0424
2015,2015-0011
1967,1967-0036
1968,1968-0049
1978,1978-0070
2007,2007-0161
1980,1980-0187
1980,1980-0194
1984,1984-0197
1986,1986-0175
1989,1989-0220
1992,1992-0343
1997,1997-0016
1999,1999-0534
2000,2000-0558
2000,2000-0687
2002,2002-0036
2007,2007-0133
2012,2012-0533
2004,2004-0402
1992,1992-0060
2006,2006-0417
2011,2011-0570
1993,1993-0016
1993,1993-0038
2005,2005-0518
2011,2011-0070
1971,1971-0026
1979,1979-0040
1993,1993-0221
1997,1997-0252
1998,1998-0314
2000,2000-0066
2003,2003-0289
2007,2007-0560
2015,2015-0279
1967,1967-0073
1981,1981-0114
2006,2006-0617
2014,2014-0067
1994,1994-0089
1995,1995-0360
1996,1996-0471
1998,1998-0179
2000,2000-0478
2000,2000-0612
2002,2002-0635
2003,2003-0388
2004,2004-0459
2005,2005-0233
2007,2007-0180
2002,2002-0210
2003,2003-0423
2003,2003-0538
2004,2004-0180
2009,2009-0522
2011,2011-0022
