Gas,Year,Data
N[2]*O,1838,221.4920402474101
N[2]*O,1839,224.4229504227247
N[2]*O,1840,227.3714894782919
N[2]*O,1841,231.41263080569252
N[2]*O,1842,235.71586917527813
N[2]*O,1843,239.88324150239958
N[2]*O,1844,244.5967782381142
N[2]*O,1845,249.64869526579054
N[2]*O,1846,254.49410408255187
N[2]*O,1847,259.72965022094724
N[2]*O,1848,264.390274422919
N[2]*O,1849,269.1256321501637
N[2]*O,1850,295.04507802777573
N[2]*O,1851,300.3548121923767
N[2]*O,1852,305.5477249855319
N[2]*O,1853,310.55154276365306
N[2]*O,1854,315.2939699281497
N[2]*O,1855,319.7027463380557
N[2]*O,1856,323.7055729748098
N[2]*O,1857,327.23017890486926
N[2]*O,1858,330.2042837008963
N[2]*O,1859,332.55560434581304
N[2]*O,1860,334.21185376913934
N[2]*O,1861,335.4312398483903
N[2]*O,1862,336.5392263435897
N[2]*O,1863,337.5644769959067
N[2]*O,1864,338.535633614356
N[2]*O,1865,339.4813559356368
N[2]*O,1866,340.43028578543954
N[2]*O,1867,341.41108093788256
N[2]*O,1868,342.4523914543188
N[2]*O,1869,343.58287262945976
N[2]*O,1870,344.8311659916533
N[2]*O,1871,349.81950883971274
N[2]*O,1872,361.16881340707386
N[2]*O,1873,377.405739206312
N[2]*O,1874,397.05694649644295
N[2]*O,1875,418.64910427702745
N[2]*O,1876,440.708866924457
N[2]*O,1877,461.76290848527844
N[2]*O,1878,480.3378839558028
N[2]*O,1879,494.9604543384801
N[2]*O,1880,504.15729370444706
N[2]*O,1881,509.71020988970656
N[2]*O,1882,514.4872668160795
N[2]*O,1883,518.6444638657247
N[2]*O,1884,522.3377981551675
N[2]*O,1885,525.7232925212634
N[2]*O,1886,528.9569233644515
N[2]*O,1887,532.1947164572553
N[2]*O,1888,535.5926642907057
N[2]*O,1889,539.3067783387926
N[2]*O,1890,561.1925449063465
N[2]*O,1891,567.2362480683942
N[2]*O,1892,573.6150395764437
N[2]*O,1893,580.2418934100181
N[2]*O,1894,587.0297716026588
N[2]*O,1895,593.8915784125563
N[2]*O,1896,600.7403168030035
N[2]*O,1897,607.4889097897664
N[2]*O,1898,614.0503761154977
N[2]*O,1899,620.3376294477464
N[2]*O,1900,626.2636458129757
N[2]*O,1901,632.5777634884117
N[2]*O,1902,639.9352457564763
N[2]*O,1903,648.1079307900449
N[2]*O,1904,656.8675933768106
N[2]*O,1905,665.9860319218967
N[2]*O,1906,675.2350607045812
N[2]*O,1907,684.3864332585069
N[2]*O,1908,693.2119828288376
N[2]*O,1909,701.4834950849979
N[2]*O,1910,708.9727571961869
N[2]*O,1911,717.4432513018994
N[2]*O,1912,728.4455091559186
N[2]*O,1913,741.4324337078508
N[2]*O,1914,755.855134328003
N[2]*O,1915,771.1677090337193
N[2]*O,1916,786.8220398604772
N[2]*O,1917,802.2706242438438
N[2]*O,1918,816.9659617886583
N[2]*O,1919,830.3609714107778
N[2]*O,1920,841.9074239909417
N[2]*O,1921,852.8683953310947
N[2]*O,1922,864.6476821417604
N[2]*O,1923,876.9083115247242
N[2]*O,1924,889.3137854825892
N[2]*O,1925,901.5276145382546
N[2]*O,1926,913.2130186674661
N[2]*O,1927,924.0336799017205
N[2]*O,1928,933.6527962533785
N[2]*O,1929,941.7338714045025
N[2]*O,1930,947.939942882588
N[2]*O,1931,952.977079373384
N[2]*O,1932,957.9010914678646
N[2]*O,1933,962.9003845070948
N[2]*O,1934,968.163430738151
N[2]*O,1935,973.8784602673461
N[2]*O,1936,980.233750686242
N[2]*O,1937,987.4179379509861
N[2]*O,1938,995.619077287505
N[2]*O,1939,1005.0257563072272
N[2]*O,1940,1015.8264465425093
N[2]*O,1941,1052.5333453486048
N[2]*O,1942,1132.6543757940567
N[2]*O,1943,1245.862254717948
N[2]*O,1944,1381.8313773647249
N[2]*O,1945,1530.2365265905526
N[2]*O,1946,1680.7511335051868
N[2]*O,1947,1823.049286044402
N[2]*O,1948,1946.805148774652
N[2]*O,1949,2041.693279782277
N[2]*O,1950,2097.3871248851137
N[2]*O,1951,2130.7429065455626
N[2]*O,1952,2165.7287607691014
N[2]*O,1953,2202.687365810103
N[2]*O,1954,2241.96253332127
N[2]*O,1955,2283.896950048634
N[2]*O,1956,2328.833917578807
N[2]*O,1957,2377.1167448089836
N[2]*O,1958,2429.088111381057
N[2]*O,1959,2485.091431080826
N[2]*O,1960,2561.159711213442
N[2]*O,1961,2697.538635970952
N[2]*O,1962,2787.71042880045
N[2]*O,1963,2876.8346617549755
N[2]*O,1964,2977.706636912406
N[2]*O,1965,3092.1126264121385
N[2]*O,1966,3220.109430732621
N[2]*O,1967,3333.910255072387
N[2]*O,1968,3438.0569022386194
N[2]*O,1969,3510.525940062682
N[2]*O,1970,3541.5025488906176
N[2]*O,1971,3518.436110931503
N[2]*O,1972,3645.103110348128
N[2]*O,1973,3754.19357970325
N[2]*O,1974,3792.4145119790746
N[2]*O,1975,3899.676998973696
N[2]*O,1976,3996.9577443387393
N[2]*O,1977,4092.1240682137286
N[2]*O,1978,4161.308381272044
N[2]*O,1979,4305.036304416983
N[2]*O,1980,4336.167602240221
N[2]*O,1981,4241.13430837937
N[2]*O,1982,4284.891451228097
N[2]*O,1983,4317.522883508693
N[2]*O,1984,4367.28367920681
N[2]*O,1985,4392.168460382376
N[2]*O,1986,4393.612786030055
N[2]*O,1987,4467.880683785888
N[2]*O,1988,4455.137652702626
N[2]*O,1989,4512.589733478667
N[2]*O,1990,4533.805804551824
N[2]*O,1991,4516.710808210419
N[2]*O,1992,4520.301256061791
N[2]*O,1993,4495.14203871855
N[2]*O,1994,4562.558591389781
N[2]*O,1995,4697.9922875210605
N[2]*O,1996,4772.418739911732
N[2]*O,1997,4737.927716138253
N[2]*O,1998,4728.94340492989
N[2]*O,1999,4755.577417782337
N[2]*O,2000,4786.861598745136
N[2]*O,2001,4804.811785876775
N[2]*O,2002,4867.934374687238
N[2]*O,2003,4884.486236985536
N[2]*O,2004,5046.360435517292
N[2]*O,2005,5085.188052673311
N[2]*O,2006,5149.65183097234
N[2]*O,2007,5297.42919612412
N[2]*O,2008,5238.12277739964
N[2]*O,2009,5182.208166161317
N[2]*O,2010,5282.069653279637
N[2]*O,2011,5482.86910893742
N[2]*O,2012,5543.56644239711
N[2]*O,2013,5520.610925238263
N[2]*O,2014,5579.859796035579
N[2]*O,2015,5598.658213668265
N[2]*O,2016,5644.711985118132
N[2]*O,2017,5750.5320562226625
N[2]*O,2018,5740.360130685017
N[2]*O,2019,5771.100648093307
N[2]*O,2020,5834.558660106923
N[2]*O,2021,5936.28213904362
